order_id,customer_id,age,product_id,country,signup_date,last_purchase_date,cancellations_count,subscription_status,order_date,unit_price,quantity,purchase_frequency,preferred_category,product_name,category,gender
ORD5000,CUST1000,39,PROD200,Canada,2021-01-07,2023-02-21,0,active,2024-08-20,78.21,5,37,Sports,Football,Sports,Female
ORD5001,CUST1001,61,PROD201,USA,2020-10-19,2021-12-08,0,active,2025-07-17,64.02,8,35,Sports,Refrigerator,Home,Female
ORD5002,CUST1002,26,PROD202,Pakistan,2023-06-10,2023-09-04,3,cancelled,2025-03-12,604.14,2,44,Electronics,Hoodie,Clothing,Female
ORD5003,CUST1003,54,PROD203,India,2023-07-30,2024-02-20,4,paused,2024-09-19,84.66,4,1,Sports,Conditioner,Beauty,Male
ORD5004,CUST1004,50,PROD204,India,2020-12-09,2024-09-14,0,active,2024-08-08,62.66,7,35,Sports,Smartwatch,Electronics,Male
ORD5005,CUST1005,46,PROD205,Pakistan,2023-05-16,2025-08-13,2,active,2024-10-14,221.61,8,16,Electronics,Hoodie,Clothing,Male
ORD5006,CUST1006,29,PROD206,Germany,2023-04-10,2025-07-15,1,active,2024-03-05,175.74,4,7,Clothing,Tablet,Electronics,Female
ORD5007,CUST1007,24,PROD207,UK,2022-07-11,2024-12-31,2,active,2025-03-21,9.56,5,34,Clothing,Jacket,Clothing,Female
ORD5009,CUST1009,38,PROD209,Germany,2021-12-09,2024-11-29,2,active,2021-12-24,337.24,4,6,Clothing,Camera,Electronics,Male
ORD5012,CUST1012,39,PROD212,Canada,2020-12-20,2023-01-16,2,active,2021-08-07,168.79,9,36,Beauty,Vacuum Cleaner,Home,Female
ORD5013,CUST1013,61,PROD213,USA,2021-02-19,2024-12-09,3,active,2024-01-26,236.77,8,5,Sports,Perfume,Beauty,Female
ORD5014,CUST1014,64,PROD214,UK,2021-02-27,2025-04-24,1,active,2023-12-06,130.32,6,20,Clothing,Cycling Helmet,Sports,Female
ORD5017,CUST1017,22,PROD217,Pakistan,2021-09-14,2024-08-04,0,cancelled,2024-01-27,211.24,6,18,Electronics,Cricket Bat,Sports,Male
ORD5020,CUST1020,64,PROD220,Canada,2022-03-13,2024-01-23,4,active,2022-05-06,242.03,6,2,Electronics,Cricket Bat,Sports,Female
ORD5021,CUST1021,52,PROD221,Germany,2021-02-02,2022-06-20,1,paused,2024-08-20,50.78,7,9,Home,Dress,Clothing,Male
ORD5022,CUST1022,28,PROD222,Germany,2022-06-09,2022-08-05,2,active,2024-02-06,89.87,6,39,Home,Smartphone,Electronics,Female
